objectid,ccg18cd,ccg18nm,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
1,E38000001,"NHS Airedale, Wharfedale and Craven CCG",393990,462191,-2.0933001,54.0556488,1221409958.75135,205687.59369429
2,E38000002,NHS Ashford CCG,597640,140644,0.82337397,51.13095856,580593055.37867,133184.073932439
3,E38000004,NHS Barking and Dagenham CCG,547758,185109,0.129493,51.54552841,36010250.8121131,34854.2611610948
4,E38000005,NHS Barnet CCG,523471,191753,-0.21822,51.61108017,86776099.0460481,44615.4246533299
5,E38000006,NHS Barnsley CCG,429979,403330,-1.54925001,53.5257988,329541372.981844,113823.093389886
6,E38000007,NHS Basildon and Brentwood CCG,564014,194421,0.36806801,51.62469864,262675342.508005,106864.953177765
7,E38000008,NHS Bassetlaw CCG,468073,384833,-0.97869998,53.35602188,639271371.745327,145736.76763747
8,E38000009,NHS Bath and North East Somerset CCG,366218,161999,-2.48653007,51.35604095,350711001.102536,119033.433341201
9,E38000010,NHS Bedfordshire CCG,508276,246439,-0.42045,52.10570145,1191500282.788,248077.288876404
10,E38000011,NHS Bexley CCG,549201,175434,0.146198,51.45822144,60521084.2635838,38728.2768710868
11,E38000014,NHS Blackburn with Darwen CCG,369490,422806,-2.46359992,53.70080185,137320151.785512,58841.0380531591
12,E38000015,NHS Blackpool CCG,332763,436633,-3.02284002,53.8216095,34740046.2955725,32513.2884215184
13,E38000016,NHS Bolton CCG,368353,409877,-2.47950006,53.58452988,139550892.214438,70070.6917106787
14,E38000018,NHS Bradford City CCG,416365,433817,-1.75302005,53.80041122,16373061.5327017,24955.057084502
15,E38000019,NHS Bradford Districts CCG,409837,435093,-1.85209,53.81203842,169560419.331808,98132.8371969583
16,E38000020,NHS Brent CCG,519615,186468,-0.27568001,51.56441116,43451616.9533323,35134.4879933063
17,E38000021,NHS Brighton and Hove CCG,530280,106856,-0.15078001,50.84656143,82842337.0557007,54112.5473168539
18,E38000023,NHS Bromley CCG,542035,165713,0.039234,51.37271118,150442481.408893,67890.1095417774
19,E38000024,NHS Bury CCG,379662,410766,-2.3087399,53.59307861,100309742.31632,61434.5176164345
20,E38000025,NHS Calderdale CCG,402615,424896,-1.96185005,53.72048187,363846349.337665,98225.2770306984
21,E38000026,NHS Cambridgeshire and Peterborough CCG,530882,268396,-0.08209,52.29811096,3758768958.90227,417779.758986494
22,E38000027,NHS Camden CCG,527491,184282,-0.16291,51.54304123,21638431.7812789,23998.4955377471
23,E38000028,NHS Cannock Chase CCG,401391,311481,-1.98083997,52.70101166,133361375.947022,75655.6827586761
24,E38000029,NHS Canterbury and Coastal CCG,614567,157885,1.07524204,51.27967834,605337736.318961,205885.967490812
25,E38000030,NHS Castle Point and Rochford CCG,584564,190872,0.66275299,51.58647156,214195699.469389,181412.034143262
